Ticker,GICS Sector
Q,Information Technology
RL,Consumer Discretionary
RJF,Financials
RTX,Industrials
REGN,Health Care
RF,Financials
RSG,Industrials
RVTY,Health Care
HOOD,Financials
ROK,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SPGI,Financials
CRM,Information Technology
SNDK,Information Technology
SLB,Energy
STX,Information Technology
SRE,Utilities
NOW,Information Technology
SHW,Materials
SJM,Consumer Staples
SW,Materials
SOLV,Health Care
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STLD,Materials
STE,Health Care
SYK,Health Care
SMCI,Information Technology
SNPS,Information Technology
SYY,Consumer Staples
TMUS,Communication Services
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TRGP,Energy
TGT,Consumer Staples
TEL,Information Technology
TDY,Information Technology
TSLA,Consumer Discretionary
TXN,Information Technology
TPL,Energy
TXT,Industrials
TMO,Health Care
TJX,Consumer Discretionary
TKO,Communication Services
TTD,Communication Services
TSCO,Consumer Discretionary
TT,Industrials
TDG,Industrials
TRV,Financials
TRMB,Information Technology
TFC,Financials
TYL,Information Technology
TSN,Consumer Staples
UBER,Industrials
UDR,Real Estate
ULTA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UNH,Health Care
UHS,Health Care
VLO,Energy
VTR,Real Estate
VLTO,Industrials
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VRT,Industrials
VTRS,Health Care
VICI,Real Estate
V,Financials
VST,Utilities
WRB,Financials
WAB,Industrials
WMT,Consumer Staples
DIS,Communication Services
WBD,Communication Services
WM,Industrials
WEC,Utilities
WELL,Real Estate
WST,Health Care
WDC,Information Technology
WSM,Consumer Discretionary
WMB,Energy
WTW,Financials
WDAY,Information Technology
WYNN,Consumer Discretionary
XYL,Industrials
YUM,Consumer Discretionary
